CustomerID,Lookalikes
C0001,"[('C0107', 0.994632640008671), ('C0137', 0.9936381382351789), ('C0191', 0.9849776082580975)]"
C0002,"[('C0142', 0.9885438560220585), ('C0186', 0.9473006501939832), ('C0043', 0.947149042386917)]"
C0003,"[('C0133', 0.9480793412710703), ('C0190', 0.9473431895624816), ('C0174', 0.9262718596095505)]"
C0004,"[('C0113', 0.9887735395871667), ('C0104', 0.9643394618678176), ('C0102', 0.9639365891122683)]"
C0005,"[('C0186', 0.9974522198413518), ('C0159', 0.9969275009402225), ('C0140', 0.9858906900154507)]"
C0006,"[('C0048', 0.9418930930117574), ('C0158', 0.9365788774424373), ('C0011', 0.928719744928175)]"
C0007,"[('C0115', 0.9824891708444753), ('C0092', 0.9725850695653987), ('C0178', 0.9627170032059268)]"
C0008,"[('C0084', 0.9152836934712252), ('C0098', 0.9055698024818376), ('C0139', 0.9014128188405727)]"
C0009,"[('C0198', 0.9877124134049184), ('C0063', 0.9722511114411968), ('C0060', 0.9696644186609151)]"
C0010,"[('C0166', 0.9744859302185533), ('C0199', 0.9591046443312639), ('C0073', 0.9479292573548042)]"
C0011,"[('C0107', 0.9926088453479971), ('C0048', 0.9924680054592371), ('C0001', 0.9830080294039897)]"
C0012,"[('C0153', 0.984236292082494), ('C0102', 0.9804069036835471), ('C0087', 0.974693072012702)]"
C0013,"[('C0155', 0.9912521982793112), ('C0099', 0.9892046329718406), ('C0104', 0.9882881915347679)]"
C0014,"[('C0060', 0.9994801538718718), ('C0198', 0.9939967000189704), ('C0063', 0.9890002450220691)]"
C0015,"[('C0020', 0.9937806416629302), ('C0058', 0.9928388949178565), ('C0033', 0.9913833779104679)]"
C0016,"[('C0183', 0.9762922704797871), ('C0154', 0.9440644118258968), ('C0117', 0.9255543435861838)]"
C0017,"[('C0075', 0.9761074550257518), ('C0041', 0.9329072806379738), ('C0162', 0.9020196528267495)]"
C0018,"[('C0046', 0.8773567716985886), ('C0122', 0.8409161439369918), ('C0068', 0.8246719383234085)]"
C0019,"[('C0172', 0.9955794303719614), ('C0103', 0.8897906056551043), ('C0119', 0.8723648196550932)]"
C0020,"[('C0058', 0.9956367682274538), ('C0033', 0.9941292436495542), ('C0015', 0.9937806416629302)]"
